paperDOI,authorID,correspondingAuthor
f134abeaf9bfd41f29b97aec675ec31895bf541d,144758045,True
8d020275181c69e5e768c6ffc40e09710a6f54f1,119462164,True
8d020275181c69e5e768c6ffc40e09710a6f54f1,123247135,False
378236591fc05e79204fd904e9f864efa31cdc74,15913738,True
378236591fc05e79204fd904e9f864efa31cdc74,2118689474,False
378236591fc05e79204fd904e9f864efa31cdc74,2105731841,False
378236591fc05e79204fd904e9f864efa31cdc74,2115585545,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,1557487144,True
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,2047009195,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,115517806,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,2117715807,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,1702139,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,144758045,False
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,1453104568,False
22ff1f6f4df0497323ac03f446cbc49463128486,3914102,True
22ff1f6f4df0497323ac03f446cbc49463128486,2204252078,False
22ff1f6f4df0497323ac03f446cbc49463128486,4796976,False
22ff1f6f4df0497323ac03f446cbc49463128486,4159243,False
22ff1f6f4df0497323ac03f446cbc49463128486,2140404141,False
22ff1f6f4df0497323ac03f446cbc49463128486,2275501436,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,51273488,True
10c64e5aaff9f70dffc8c29a577376d085e9340b,2274559129,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,2219616129,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,2067184257,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,1435635095,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,3528287,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,2220804070,False
10c64e5aaff9f70dffc8c29a577376d085e9340b,2083368779,False
4583725945ff17f139215b210878b0a2e2d29bc2,4815642,True
4583725945ff17f139215b210878b0a2e2d29bc2,5777361,False
7c1933359a6860fe49d15c6353a241763879e81f,2151840708,True
7c1933359a6860fe49d15c6353a241763879e81f,31444174,False
7c1933359a6860fe49d15c6353a241763879e81f,1784067,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,121645690,True
